,county,year,NO2_annualMean,NO2_hrOver200,NO_annualMean,O3_annualMean,O3_daysOver120,O3_dailyMaxAnnualMean,O3_dailyHourlyMax,O3_daily8HrMax,PM10_annualMean,PM2_5_annualMean,cases_per_100k,deaths_per_100k,Population_density,Fully_vaccinated
91,LK Amberg-Sulzbach,2011,"1,74375E+14",0.0065793673669481,"9,34589E+14","5,07188E+14","1,55745E+14","7,57554E+13","1,79438E+14","1,62122E+14",2314113,"1,30344E+14",6070.99166974116,164.08085593895026,82.05061179162487,0.663
92,LK Amberg-Sulzbach,2012,"1,69916E+14",0.0063380787197897,"8,68671E+14",4168897,"1,68146E+14","7,59508E+14","1,795E+14","1,62232E+14",1951611,"1,29381E+14",6070.99166974116,164.08085593895026,82.05061179162487,0.663
93,LK Amberg-Sulzbach,2013,"1,68386E+14",0.0062552903310121,"8,69874E+14","5,07685E+14","1,57774E+14","7,57874E+14","1,79448E+14","1,6214E+14","1,70273E+14","1,27926E+14",6070.99166974116,164.08085593895026,82.05061179162487,0.663
94,LK Amberg-Sulzbach,2014,"1,708E+14",0.006385922361588,"8,84225E+14",441915,0,7347704,158.04,1463025,2150997,"1,29387E+14",6070.99166974116,164.08085593895026,82.05061179162487,0.663
95,LK Amberg-Sulzbach,2015,"1,6897E+14",0.0062869046860602,"8,84737E+14",4713443,0,7539918,203.89,178.37,1900394,"1,27182E+14",6070.99166974116,164.08085593895026,82.05061179162487,0.663
96,LK Amberg-Sulzbach,2016,"1,66014E+14",0.0061269438907326,"8,63779E+14",4244444,0,7227719,144.13,1342787,166611,"1,26441E+14",6070.99166974116,164.08085593895026,82.05061179162487,0.663
97,LK Amberg-Sulzbach,2017,"1,62331E+14",0.0059276400006401,"8,29943E+11",4637654,0,7585362,1820735,1736949,1870791,"1,26318E+13",6070.99166974116,164.08085593895026,82.05061179162487,0.663
98,LK Amberg-Sulzbach,2018,"1,60801E+14",0.0058448762403207,"8,17235E+13",5042841,0,8439434,1918558,1687376,1983253,"1,27328E+14",6070.99166974116,164.08085593895026,82.05061179162487,0.663
99,LK Amberg-Sulzbach,2019,"1,58545E+14",0.0057228144795965,"8,19763E+14",4817899,0,7910887,1778808,1569117,1571198,"1,22905E+14",6070.99166974116,164.08085593895026,82.05061179162487,0.663
100,LK Ammerland,2010,"1,74663E+14",0.0065949841508806,"9,21969E+14","4,97623E+14","1,16724E+14","7,51407E+14","1,79244E+14","1,61776E+14","1,7342E+14","1,2912E+14",3191.58249962194,55.71341021783944,172.28117592095913,0.699
